name,type,start_time,duration,"identifier","num_data_bytes","data","crc","ack","remote_frame"
"CAN","data_field",3.78326231,2.8e-05,,,0xB6,,,
"CAN","data_field",3.78329431,3.2e-05,,,0x09,,,
"CAN","data_field",3.78333031,3.2e-05,,,0x00,,,
"CAN","crc_field",3.78336631,5.6e-05,,,,0x0000000000007A72,,
"CAN","ack_field",3.78343031,4e-06,,,,,true,
"CAN","identifier_field",3.7834825,5.6e-05,0x0000000000000602,,,,,
"CAN","control_field",3.7835425,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.7835585,3.2e-05,,,0x23,,,
"CAN","data_field",3.7835945,3.2e-05,,,0x41,,,
"CAN","data_field",3.7836305,2.8e-05,,,0x23,,,
"CAN","data_field",3.7836625,3.2e-05,,,0x00,,,
"CAN","data_field",3.7836985,2.8e-05,,,0xCC,,,
"CAN","data_field",3.7837305,2.8e-05,,,0xB6,,,
"CAN","data_field",3.7837625,3.2e-05,,,0x09,,,
"CAN","data_field",3.7837985,3.2e-05,,,0x00,,,
"CAN","crc_field",3.7838345,5.6e-05,,,,0x000000000000675F,,
"CAN","ack_field",3.7839025,4e-06,,,,,true,
"CAN","identifier_field",3.78395469,5.6e-05,0x0000000000000581,,,,,
"CAN","control_field",3.78401469,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.78403069,2.8e-05,,,0x60,,,
"CAN","data_field",3.78406669,3.2e-05,,,0x41,,,
"CAN","data_field",3.78410269,2.8e-05,,,0x23,,,
"CAN","data_field",3.78413469,3.2e-05,,,0x00,,,
"CAN","data_field",3.78417069,3.6e-05,,,0x00,,,
"CAN","data_field",3.78421069,3.2e-05,,,0x00,,,
"CAN","data_field",3.78424669,3.6e-05,,,0x00,,,
"CAN","data_field",3.78428669,3.2e-05,,,0x00,,,
"CAN","crc_field",3.78432669,5.6e-05,,,,0x000000000000623D,,
"CAN","ack_field",3.78439069,4e-06,,,,,true,
"CAN","identifier_field",3.78444287,5.6e-05,0x0000000000000582,,,,,
"CAN","control_field",3.78450287,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.78451887,2.8e-05,,,0x60,,,
"CAN","data_field",3.78455487,3.2e-05,,,0x41,,,
"CAN","data_field",3.78459088,2.8e-05,,,0x23,,,
"CAN","data_field",3.78462288,3.2e-05,,,0x00,,,
"CAN","data_field",3.78465887,3.6e-05,,,0x00,,,
"CAN","data_field",3.78469888,3.2e-05,,,0x00,,,
"CAN","data_field",3.78473487,3.6e-05,,,0x00,,,
"CAN","data_field",3.78477488,3.2e-05,,,0x00,,,
"CAN","crc_field",3.78481487,6e-05,,,,0x0000000000007F10,,
"CAN","ack_field",3.78488288,4e-06,,,,,true,
"CAN","identifier_field",3.7870355,5.6e-05,0x0000000000000601,,,,,
"CAN","control_field",3.7870955,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.7871115,3.2e-05,,,0x40,,,
"CAN","data_field",3.7871475,2.8e-05,,,0x64,,,
"CAN","data_field",3.7871795,2.8e-05,,,0x60,,,
"CAN","data_field",3.7872155,3.2e-05,,,0x00,,,
"CAN","data_field",3.7872515,3.6e-05,,,0x00,,,
"CAN","data_field",3.7872915,3.2e-05,,,0x00,,,
"CAN","data_field",3.7873275,3.6e-05,,,0x00,,,
"CAN","data_field",3.7873675,3.2e-05,,,0x00,,,
"CAN","crc_field",3.7874075,5.6e-05,,,,0x00000000000007B3,,
"CAN","ack_field",3.7874715,4e-06,,,,,true,
"CAN","identifier_field",3.78752331,5.6e-05,0x0000000000000602,,,,,
"CAN","control_field",3.78758331,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.78759931,3.2e-05,,,0x40,,,
"CAN","data_field",3.78763531,2.8e-05,,,0x64,,,
"CAN","data_field",3.78766731,2.8e-05,,,0x60,,,
"CAN","data_field",3.78770331,3.2e-05,,,0x00,,,
"CAN","data_field",3.78773931,3.6e-05,,,0x00,,,
"CAN","data_field",3.78777931,3.2e-05,,,0x00,,,
"CAN","data_field",3.78781531,3.6e-05,,,0x00,,,
"CAN","data_field",3.78785531,3.2e-05,,,0x00,,,
"CAN","crc_field",3.78789531,5.6e-05,,,,0x0000000000001A9E,,
"CAN","ack_field",3.78795931,4e-06,,,,,true,
"CAN","identifier_field",3.7880115,5.6e-05,0x0000000000000581,,,,,
"CAN","control_field",3.7880715,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.7880875,2.8e-05,,,0x43,,,
"CAN","data_field",3.7881195,2.8e-05,,,0x64,,,
"CAN","data_field",3.7881515,2.8e-05,,,0x60,,,
"CAN","data_field",3.7881875,3.2e-05,,,0x00,,,
"CAN","data_field",3.7882235,3.2e-05,,,0x17,,,
"CAN","data_field",3.7882595,3.6e-05,,,0xFF,,,
"CAN","data_field",3.7882995,3.2e-05,,,0x01,,,
"CAN","data_field",3.7883355,3.2e-05,,,0x00,,,
"CAN","crc_field",3.7883715,6e-05,,,,0x0000000000007502,,
"CAN","ack_field",3.7884395,4e-06,,,,,true,
"CAN","identifier_field",3.78849169,5.6e-05,0x0000000000000582,,,,,
"CAN","control_field",3.78855169,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",3.78856769,2.8e-05,,,0x43,,,
"CAN","data_field",3.78859969,2.8e-05,,,0x64,,,
"CAN","data_field",3.78863169,2.8e-05,,,0x60,,,
